Template: pac_settingstemplate_inside
DangerType: Flood
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.5
WaveLength: 0.75
WaveAmplitude: 0.03430947
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.1630435
BkgDroneVolume: 0.3543479
Palette: 4505
PlacedObjects: DayNightSettings><1425.305><255.8078><5~8.660254~28~23, DangleFruit><1026.832><189.4027><0~0~2~3, DangleFruit><980.8608><207.6605><0~0~2~3, DangleFruit><940.888><202.3129><0~0~2~3, DangleFruit><257.8169><494.5116><0~0~2~3, DangleFruit><342.4423><504.6383><0~0~2~3, DangleFruit><296.9497><514.5314><0~0~2~3, 
