DangerType: Flood
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.5
WaveLength: 0.75
WaveAmplitude: 0.03430947
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.1630435
Grime: 0.5
BkgDroneVolume: 0.3543479
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 4505
EffectColorA: 11
EffectColorB: 18
Effects: DayNight-1-20-20, Moth-0.0326087-383-257, 
AmbientSounds: OMNI><am_sub-mysticcave2.ogg><-1000><-1000><0.5><1, 
