Room Setting Templates: Outside, Inside, Sewers
proceduralMusicBank: oe
Subregion: Crimson Palace
Subregion: Red Forest
Subregion: Frozen Foliage

Room_Attr: PAC_START: Overseer-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_INTERSECTION: Overseer-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_DIGFOOD: Overseer-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_TUNNEL: Overseer-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_OPEN: Vulture-Forbidden,Overseer-Like,KingVulture-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_FOUNTAIN: Vulture-Forbidden,KingVulture-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_SO1: MothGrub-Forbidden,
Room_Attr: PAC_HANGOUT: MothGrub-Forbidden,
Room_Attr: PAC_SEWERS: MothGrub-Forbidden,
Room_Attr: PAC_FAUCET: Vulture-Forbidden,KingVulture-Forbidden,Polliwog-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_PIPES: Polliwog-Like,MothGrub-Forbidden,
Room_Attr: PAC_SO2: Polliwog-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_SHORE: Vulture-Like,KingVulture-Like,Polliwog-Like,MiniLeviathan-Stay,MothGrub-Forbidden,
Room_Attr: PAC_GUTS: MothGrub-Forbidden,
Room_Attr: PAC_STOMACH: MothGrub-Forbidden,
Room_Attr: PAC_HEART: MothGrub-Forbidden,
Room_Attr: PAC_GROUND: Vulture-Avoid,KingVulture-Avoid,ZoopLizard-Avoid,MothGrub-Stay,
Room_Attr: PAC_A1: Polliwog-Like,MothGrub-Forbidden,
Room_Attr: PAC_A2: PinkLizard-Avoid,MothGrub-Forbidden,
Room_Attr: PAC_A3: PinkLizard-Stay,Polliwog-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_A4: PinkLizard-Like,
Room_Attr: PAC_A5: PinkLizard-Like,BlueLizard-Stay,Vulture-Like,KingVulture-Avoid,
Room_Attr: PAC_A6: Vulture-Forbidden,
Room_Attr: PAC_B1: Polliwog-Like,MothGrub-Forbidden,
Room_Attr: PAC_B2: MothGrub-Forbidden,
Room_Attr: PAC_B3: Polliwog-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_B4: MothGrub-Forbidden,
Room_Attr: PAC_B5: Vulture-Forbidden,KingVulture-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_SO4: MothGrub-Forbidden,
Room_Attr: PAC_BIGTREE: Vulture-Like,KingVulture-Avoid,ZoopLizard-Stay,MothGrub-Like,
Room_Attr: PAC_BIGTREE2: Vulture-Like,KingVulture-Avoid,ZoopLizard-Like,MothGrub-Forbidden,
Room_Attr: PAC_SO3: ZoopLizard-Forbidden,MothGrub-Forbidden,
Room_Attr: PAC_BIGTREE3: Vulture-Like,KingVulture-Avoid,ZoopLizard-Avoid,MothGrub-Forbidden,
Room_Attr: PAC_TREECHO: Vulture-Forbidden,KingVulture-Forbidden,ZoopLizard-Forbidden,MothGrub-Forbidden,
